firm_id,year,revenue,employees,treated,post
1,2010,49.3347,65,0,0
1,2011,77.0661,85,0,0
1,2012,45.9125,209,0,0
1,2013,73.1965,111,0,0
1,2014,58.6640,126,0,0
1,2015,103.5077,113,0,1
1,2016,69.9783,103,0,1
1,2017,84.3701,111,0,1
1,2018,42.4473,105,0,1
1,2019,93.4004,76,0,1
2,2010,69.5296,61,1,0
2,2011,35.2916,58,1,0
2,2012,36.2020,57,1,0
2,2013,43.3898,85,1,0
2,2014,26.4598,71,1,0
2,2015,43.9259,87,1,1
2,2016,25.7600,52,1,1
2,2017,70.4060,41,1,1
2,2018,38.1653,130,1,1
2,2019,34.4189,73,1,1
3,2010,12.2924,12,1,0
3,2011,16.8066,22,1,0
3,2012,9.1311,18,1,0
3,2013,11.9386,24,1,0
3,2014,10.0033,21,1,0
3,2015,13.7703,29,1,1
3,2016,14.1955,21,1,1
3,2017,12.6101,26,1,1
3,2018,11.8192,21,1,1
3,2019,6.2289,30,1,1
4,2010,24.5418,46,1,0
4,2011,14.1930,54,1,0
4,2012,22.5954,43,1,0
4,2013,22.6578,58,1,0
4,2014,33.4853,44,1,0
4,2015,30.4608,89,1,1
4,2016,38.9308,60,1,1
4,2017,47.6213,49,1,1
4,2018,18.9901,59,1,1
4,2019,43.1511,51,1,1
5,2010,27.3397,57,0,0
5,2011,46.3295,73,0,0
5,2012,57.7445,82,0,0
5,2013,25.1701,55,0,0
5,2014,33.1996,77,0,0
5,2015,61.6696,49,0,1
5,2016,32.6311,53,0,1
5,2017,36.4071,50,0,1
5,2018,48.3153,83,0,1
5,2019,46.2512,99,0,1
6,2010,19.1100,71,1,0
6,2011,36.7731,39,1,0
6,2012,28.1486,44,1,0
6,2013,18.4443,63,1,0
6,2014,37.4809,41,1,0
6,2015,37.8469,52,1,1
6,2016,27.8359,71,1,1
6,2017,25.3280,39,1,1
6,2018,33.1398,52,1,1
6,2019,16.3630,82,1,1
7,2010,53.9848,79,0,0
7,2011,53.0749,81,0,0
7,2012,47.2481,78,0,0
7,2013,40.2614,47,0,0
7,2014,66.9498,56,0,0
7,2015,49.0757,63,0,1
7,2016,42.3322,119,0,1
7,2017,51.2814,113,0,1
7,2018,49.7489,41,0,1
7,2019,26.0342,57,0,1
8,2010,16.0577,29,0,0
8,2011,24.9671,66,0,0
8,2012,16.5418,28,0,0
8,2013,12.4687,32,0,0
8,2014,17.7864,39,0,0
8,2015,26.0722,47,0,1
8,2016,17.9152,32,0,1
8,2017,26.9583,23,0,1
8,2018,34.5582,60,0,1
8,2019,30.7451,37,0,1
9,2010,59.8186,126,0,0
9,2011,56.3253,193,0,0
9,2012,97.9724,118,0,0
9,2013,65.8508,115,0,0
9,2014,79.9892,75,0,0
9,2015,72.5612,208,0,1
9,2016,101.7808,102,0,1
9,2017,89.6735,125,0,1
9,2018,106.3320,120,0,1
9,2019,136.4012,75,0,1
10,2010,20.3869,53,0,0
10,2011,25.5615,33,0,0
10,2012,34.7545,32,0,0
10,2013,34.0345,41,0,0
10,2014,17.3470,36,0,0
10,2015,26.5291,40,0,1
10,2016,10.2770,57,0,1
10,2017,15.0722,45,0,1
10,2018,20.1866,33,0,1
10,2019,26.9964,86,0,1
11,2010,18.3068,58,0,0
11,2011,29.1848,37,0,0
11,2012,30.2562,33,0,0
11,2013,15.5221,41,0,0
11,2014,35.1238,54,0,0
11,2015,19.2111,63,0,1
11,2016,21.3751,22,0,1
11,2017,21.6926,45,0,1
11,2018,26.0117,62,0,1
11,2019,22.6787,31,0,1
12,2010,21.9980,38,0,0
12,2011,16.4686,38,0,0
12,2012,10.6266,56,0,0
12,2013,15.7585,22,0,0
12,2014,24.6325,27,0,0
12,2015,34.9576,34,0,1
12,2016,33.2196,25,0,1
12,2017,13.4729,28,0,1
12,2018,28.3130,53,0,1
12,2019,21.2726,48,0,1
13,2010,74.2707,132,0,0
13,2011,53.1075,139,0,0
13,2012,37.4266,190,0,0
13,2013,118.0630,146,0,0
13,2014,114.9465,137,0,0
13,2015,113.1225,145,0,1
13,2016,100.3137,127,0,1
13,2017,79.2386,171,0,1
13,2018,82.6561,117,0,1
13,2019,69.8639,157,0,1
14,2010,32.6597,66,0,0
14,2011,45.6435,85,0,0
14,2012,46.2979,39,0,0
14,2013,47.8725,110,0,0
14,2014,43.3878,50,0,0
14,2015,66.2598,93,0,1
14,2016,56.2394,61,0,1
14,2017,66.2186,71,0,1
14,2018,30.1420,59,0,1
14,2019,58.2545,110,0,1
15,2010,32.4179,76,1,0
15,2011,59.3581,78,1,0
15,2012,40.5780,71,1,0
15,2013,28.2829,46,1,0
15,2014,38.8250,37,1,0
15,2015,27.8664,73,1,1
15,2016,28.6180,82,1,1
15,2017,32.5262,81,1,1
15,2018,43.1183,42,1,1
15,2019,38.1890,50,1,1
16,2010,30.2299,64,0,0
16,2011,28.3050,28,0,0
16,2012,32.9613,70,0,0
